City,ft,bt,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl),Brand,Mileage_Category,Transmission_Manual
0,4,8,2,63,2017,942000.0,2,0.4095962551199531,9,2,0
0,4,7,2,50,2016,675000.0,8,0.2709186658864834,7,1,0
0,4,2,2,61,2013,330000.0,8,0.4915155061439437,9,2,1
0,4,8,2,295,2018,875000.0,8,0.3978935049736688,29,1,0
0,4,2,1,157,2017,869000.0,2,0.6085430076067876,19,0,1
0,1,8,2,305,2012,425000.0,8,0.5582211819777648,30,2,1
0,4,8,1,63,2019,1070000.0,8,0.3744880046811,9,1,1
0,4,7,2,50,2018,1025000.0,8,0.2867173785839673,7,1,1
0,1,7,1,147,2016,1000000.0,8,0.29256875365710944,18,1,1
0,4,8,1,43,2009,375000.0,8,0.29256875365710944,6,1,1
0,4,7,1,50,2018,844000.0,2,0.22235225277940318,7,1,0
0,1,2,1,91,2016,764000.0,8,0.596255119953189,10,0,1
0,1,2,1,157,2016,684000.0,8,0.9590403744880048,19,0,1
0,4,2,1,157,2019,802999.9999999999,9,0.6085430076067876,19,0,1
0,4,2,2,82,2010,320000.0,8,0.4049151550614395,10,2,1
0,1,8,1,63,2017,803999.9999999999,2,0.8777062609713283,9,0,1
0,4,2,2,179,2016,548000.0,2,0.665886483323581,19,0,1
0,4,2,1,77,2019,619000.0,2,0.4622586307782329,10,2,1
0,1,7,2,183,2018,1000000.0,8,0.7782328847279111,19,0,1
0,4,7,1,69,2018,865000.0,2,0.38033937975424237,9,1,1
0,1,7,2,141,2014,1000000.0,8,0.010532475131655894,18,1,0
0,1,2,2,179,2014,535000.0,2,0.8308952603861907,19,0,1
0,1,7,1,50,2018,975000.0,2,0.7021650087770627,7,0,1
0,4,2,1,157,2017,699000.0,8,0.6085430076067876,19,0,1
0,4,7,1,265,2021,1150000.0,8,0.38443534230544174,28,1,1
0,4,2,2,90,2015,625000.0,2,0.4447045055588065,10,2,1
0,1,8,4,200,2011,1000000.0,8,0.1878291398478643,20,1,0
0,1,8,1,281,2011,600000.0,8,0.6102984201287301,29,0,1
0,4,8,1,180,2015,675000.0,7,0.6676418958455238,19,0,1
0,4,8,1,163,2021,893000.0,2,0.564657694558221,19,0,1
0,1,2,2,179,2012,420000.0,8,0.6963136337039203,19,0,1
0,4,8,1,163,2020,941000.0,9,0.564657694558221,19,0,1
0,4,8,2,75,2015,630000.0,9,0.20479812755997662,10,1,0
0,1,4,2,289,2013,1275000.0,8,0.11644236395552954,29,1,1
0,4,2,2,77,2015,525000.0,2,0.4622586307782329,10,2,0
0,1,7,1,178,2016,750000.0,2,0.7401989467524869,19,0,1
0,4,8,2,163,2016,632000.0,2,0.47513165593914575,19,2,0
0,4,8,1,180,2015,645000.0,9,0.6676418958455238,19,0,1
0,4,8,4,56,2005,500000.0,8,0.16383850204798134,7,1,1
0,1,7,1,183,2018,850000.0,2,0.7782328847279111,19,0,1
0,4,8,1,220,2008,299000.0,8,0.21650087770626092,22,1,1
0,4,2,2,300,2021,999000.0,7,0.42363955529549446,30,2,1
0,4,2,1,66,2018,825000.0,2,0.4505558806319484,9,2,1
0,4,2,3,184,2008,250000.0,2,0.4622586307782329,19,2,1
0,4,7,1,85,2020,1295000.0,2,0.41837331772966635,10,2,0
0,4,2,1,184,2012,329000.0,2,0.4622586307782329,19,2,1
0,4,8,1,163,2018,666000.0,2,0.6179052077238151,19,0,1
0,1,7,2,85,2020,1026000.0,7,0.743124634289058,10,0,1
0,4,7,1,246,2022,1700000.0,8,0.3627852545348157,27,1,0
0,4,2,1,157,2016,681000.0,9,0.6085430076067876,19,0,1
0,4,7,1,71,2022,1689999.9999999998,8,0.18724400234055005,10,1,0
0,4,2,3,156,2016,318000.0,8,0.7834991222937392,19,0,1
0,4,2,1,157,2017,688000.0,2,0.6085430076067876,19,0,1
0,4,7,1,302,2022,1300000.0,8,0.5313048566413107,30,2,1
0,4,2,1,89,2009,265000.0,8,0.5476887068461088,10,2,1
0,4,8,2,180,2018,645000.0,8,0.6436512580456407,19,0,0
0,4,2,1,179,2020,620000.0,8,0.5974253949678175,19,0,1
0,4,7,1,119,2022,1470000.0,8,0.259215915740199,17,1,1
0,0,8,1,70,2010,220000.00000000003,8,0.1287302516091281,10,1,1
0,1,8,1,3,2014,1475000.0,8,0.3575190169689878,1,1,0
0,4,2,1,238,2020,415000.00000000006,8,0.6284376828554709,26,0,1
0,4,2,1,66,2016,610000.0,2,0.4505558806319484,9,2,1
0,4,2,2,77,2018,560000.0,2,0.4622586307782329,10,2,1
0,4,2,2,156,2015,425000.0,8,0.7577530719719133,19,0,0
0,4,2,1,157,2016,686000.0,2,0.6085430076067876,19,0,1
0,4,2,1,179,2015,517000.0,2,0.665886483323581,19,0,1
0,4,2,2,184,2015,385000.0,8,0.5564657694558223,19,2,1
0,4,2,1,157,2016,675000.0,2,0.6085430076067876,19,0,1
0,4,2,1,179,2014,499000.0,8,0.665886483323581,19,0,1
0,4,2,1,179,2022,774000.0,7,0.665886483323581,19,0,1
0,1,7,2,101,2019,1475000.0,8,0.310122878876536,13,1,1
0,4,2,3,184,2008,240000.0,8,0.4622586307782329,19,2,1
0,1,7,1,85,2019,1025000.0,8,0.743124634289058,10,0,1
0,4,7,1,265,2023,1400000.0,8,0.3703920421299004,28,1,1
0,4,2,2,74,2013,285000.0,8,0.5909888823873611,10,0,1
0,4,2,1,157,2019,780000.0,8,0.6085430076067876,19,0,1
0,4,2,2,179,2012,475000.0,8,0.4447045055588065,19,2,1
0,1,7,1,146,2019,750000.0,8,0.526623756582797,18,2,1
0,4,2,1,77,2014,555000.0,2,0.4622586307782329,10,2,1
0,4,2,2,66,2017,607000.0,8,0.4505558806319484,9,2,1
0,4,2,2,77,2017,514000.0,8,0.4622586307782329,10,2,1
0,4,8,2,157,2005,250000.0,8,0.2574605032182563,19,1,1
0,4,2,2,157,2016,705000.0,7,0.6085430076067876,19,0,1
0,4,2,1,157,2016,653000.0,2,0.6085430076067876,19,0,1
0,4,8,1,63,2015,872000.0000000001,8,0.4095962551199531,9,2,0
0,4,2,2,77,2017,564000.0,8,0.4622586307782329,10,2,0
0,1,2,2,300,2011,370000.0,8,0.6477472205968403,30,0,1
0,4,2,1,179,2015,550000.0,8,0.665886483323581,19,0,1
0,4,2,3,66,2016,517000.0,2,0.4505558806319484,9,2,1
0,4,8,1,180,2016,620000.0,8,0.5763604447045058,19,0,1
0,4,8,1,63,2014,750000.0,8,0.4095962551199531,9,2,0
0,4,7,1,265,2022,1220000.0,8,0.38443534230544174,28,1,1
0,1,2,2,196,2013,1350000.0,2,0.22235225277940318,20,1,0
0,4,2,1,179,2015,575000.0,2,0.6436512580456407,19,0,1
0,1,7,1,101,2018,1250000.0,8,0.35693387946167354,13,1,1
0,4,8,2,86,2016,868000.0,8,0.35166764189584565,10,1,1
0,4,2,1,90,2021,980000.0,8,0.526623756582797,10,2,1
0,4,2,1,179,2022,900000.0,7,0.676418958455237,19,0,0
0,4,2,2,66,2016,550000.0,2,0.4505558806319484,9,2,1
0,1,8,1,249,2012,450000.0,8,0.555880631948508,27,2,1
0,4,2,2,179,2017,610000.0,9,0.5500292568753656,19,2,1
0,4,2,1,66,2017,543000.0,2,0.4505558806319484,9,2,1
0,4,2,1,66,2016,535000.0,9,0.4505558806319484,9,2,1
0,1,7,2,147,2014,850000.0,2,0.23990637799882975,18,1,1
0,4,8,2,163,2016,661000.0,8,0.5693387946167349,19,0,1
0,4,2,2,179,2015,505000.0,2,0.665886483323581,19,0,1
0,1,8,1,247,2007,450000.0,8,0.2691632533645406,27,1,0
0,4,7,1,69,2017,865000.0,8,0.38033937975424237,9,1,1
0,4,7,1,85,2019,999000.0,2,0.425394967817437,10,2,1
0,1,7,1,229,2014,595000.0,2,0.5529549444119367,23,2,1
0,4,8,2,43,2012,400000.0,8,0.21064950263311877,6,1,1
0,1,8,1,180,2012,550000.0,8,0.48566413107080175,19,2,1
0,1,7,2,21,2011,1600000.0,2,0.3247513165593915,2,1,0
0,4,2,3,300,2013,520000.0,8,0.36337039204212995,30,1,0
0,4,2,1,157,2016,616000.0,9,0.6085430076067876,19,0,1
0,4,8,2,163,2019,795000.0,9,0.6179052077238151,19,0,1
0,4,2,1,66,2016,624000.0,2,0.4505558806319484,9,2,1
0,4,2,1,77,2017,549000.0,9,0.4622586307782329,10,2,1
0,1,4,3,289,2010,760000.0,8,0.023405500292568826,29,1,1
0,4,8,1,180,2013,524000.0,2,0.6676418958455238,19,0,1
0,1,7,1,147,2019,1650000.0,8,0.23990637799882975,18,1,1
0,1,2,2,179,2015,583000.0,2,0.8308952603861907,19,0,1
0,4,8,2,305,2020,1147000.0,9,0.3914569923932124,30,1,1
0,4,2,2,215,2013,1750000.0,8,0.15213575190169693,21,1,0
0,1,8,1,249,2016,825000.0,2,0.6272674078408426,27,0,0
0,4,2,1,300,2018,755000.0,8,0.30427150380339374,30,1,1
0,4,7,1,73,2015,875000.0,2,0.1170275014628438,10,1,1
0,4,2,1,300,2021,855000.0000000001,7,0.3943826799297835,30,1,1
0,4,2,1,77,2016,525000.0,2,0.4622586307782329,10,2,1
0,4,2,1,77,2017,650000.0,2,0.4622586307782329,10,2,0
0,1,4,2,289,2011,950000.0,2,0.1053247513165595,29,1,1
0,4,8,1,63,2018,846000.0000000001,9,0.4095962551199531,9,2,0
0,4,2,2,179,2013,424000.0,2,0.665886483323581,19,0,1
0,4,2,1,154,2008,210000.0,2,0.5090696313633704,19,2,1
0,4,8,2,295,2021,959000.0,8,0.35693387946167354,29,1,1
0,4,7,1,236,2020,889000.0,2,0.3171445289643068,26,1,1
0,4,7,1,239,2022,850000.0,8,0.46986541837331786,26,2,0
0,1,7,2,50,2018,836000.0,2,0.7021650087770627,7,0,1
0,4,7,1,239,2022,660000.0,8,0.46986541837331786,26,2,0
0,4,2,1,61,2012,334000.0,2,0.4915155061439437,9,2,1
0,4,7,1,133,2018,594000.0,8,0.41837331772966635,18,2,1
0,4,7,1,239,2021,991000.0,8,0.42363955529549446,26,2,0
0,1,7,1,101,2018,1450000.0,8,0.35693387946167354,13,1,1
0,1,8,4,305,2011,219000.0,8,0.5582211819777648,30,2,1
0,1,7,1,85,2022,1285000.0,8,0.48399837731360973,10,2,1
0,1,4,3,289,2008,455000.0,8,0.1053247513165595,29,1,1
0,4,2,1,157,2022,825000.0,8,0.6641310708016385,19,0,1
0,4,8,1,63,2018,825000.0,8,0.3744880046811,9,1,1
0,1,7,1,50,2020,920000.0,8,0.7021650087770627,7,0,1
0,1,7,2,50,2017,729000.0,7,0.6887068461088356,7,0,1
0,4,2,1,160,2015,432000.0,2,0.8332358104154475,19,0,1
0,1,7,1,236,2016,700000.0,8,0.5190169689877121,26,2,1
0,4,8,1,86,2021,1499000.0,2,0.39204212990052667,10,1,1
0,4,7,1,236,2017,762000.0,2,0.12053832650672913,26,1,1
0,4,7,1,119,2022,1625000.0,8,0.259215915740199,17,1,1
0,1,7,2,236,2014,632000.0,2,0.5529549444119367,26,2,1
0,4,7,1,85,2020,1218000.0,2,0.41837331772966635,10,2,0
0,4,2,1,77,2017,524000.0,9,0.4622586307782329,10,2,0
0,1,7,3,147,2018,1405000.0,2,0.23990637799882975,18,1,1
0,4,7,1,108,2022,1390000.0,8,0.42129900526623765,14,2,1
0,4,7,1,73,2018,1275000.0,8,0.1170275014628438,10,1,0
0,4,2,3,89,2010,275000.0,8,0.4798127559976594,10,2,0
0,4,8,1,63,2022,1125000.0,8,0.3744880046811,9,1,1
0,4,8,1,63,2016,650000.0,2,0.4095962551199531,9,2,0
0,4,8,3,3,2010,700000.0,8,0.07606787595084852,1,1,0
0,4,8,1,63,2019,1100000.0,8,0.35927442949093036,9,1,1
0,1,8,3,145,2016,260000.0,8,0.5868929198361615,18,0,1
0,4,2,2,89,2010,395000.0,2,0.4798127559976594,10,2,0
0,4,8,1,87,2019,681000.0,8,0.534815681685196,10,2,1
0,4,2,1,176,2020,405000.0,2,0.626097132826214,19,0,1
0,4,2,1,66,2018,765000.0,2,0.4681100058513751,9,2,0
0,1,2,1,175,2014,487000.0,7,0.713867758923347,19,0,1
0,1,7,1,147,2018,1474000.0,8,0.23990637799882975,18,1,1
0,1,7,2,147,2017,1340000.0,8,0.29256875365710944,18,1,0
0,4,4,1,243,2021,770000.0,2,0.42129900526623765,26,2,0
0,4,2,2,157,2018,818000.0,8,0.6085430076067876,19,0,0
0,4,7,1,50,2017,724000.0,2,0.3510825043885313,7,1,1
0,4,2,3,160,2016,468000.0,2,0.8777062609713283,19,0,0
0,4,8,1,298,2013,500000.0,8,0.21591574019894677,30,1,1
0,1,7,2,50,2016,600000.0,8,0.6887068461088356,7,0,1
0,1,7,2,147,2017,1350000.0,8,0.29256875365710944,18,1,1
0,4,2,2,76,2006,175000.0,8,0.25160912814511416,10,1,1
0,4,8,1,163,2016,725000.0,8,0.47513165593914575,19,2,0
0,4,2,1,77,2018,550000.0,8,0.4622586307782329,10,2,1
0,4,2,1,179,2019,650000.0,2,0.6436512580456407,19,0,1
0,4,2,1,66,2017,775000.0,2,0.42129900526623765,9,2,0
0,4,8,1,86,2019,900000.0,8,0.3510825043885313,10,1,1
0,4,2,1,155,2020,408000.0,2,0.6465769455822118,19,0,1
0,4,2,1,77,2017,642000.0,2,0.4622586307782329,10,2,0
0,4,2,1,39,2020,521000.0,2,0.6729081334113517,5,0,0
0,4,4,1,243,2020,695000.0,9,0.526623756582797,26,2,1
0,4,2,2,156,2018,390000.0,8,0.7577530719719133,19,0,1
0,4,2,1,273,2016,429000.0,2,0.7513165593914569,28,0,1
0,4,8,1,49,2021,520000.0,8,0.4388531304856641,7,2,1
0,4,2,1,184,2019,625000.0,7,0.5570509069631363,19,2,0
0,4,2,1,238,2022,601000.0,9,0.6120538326506729,26,0,1
0,1,7,1,101,2017,1300000.0,8,0.35693387946167354,13,1,1
0,4,2,1,77,2017,645000.0,2,0.4622586307782329,10,2,0
0,4,2,1,90,2016,695000.0,8,0.4447045055588065,10,2,1
0,1,8,2,14,2014,1644000.0000000002,2,0.684025746050322,2,0,0
0,4,7,1,50,2019,894999.9999999999,2,0.3510825043885313,7,1,1
0,4,2,2,89,2013,350000.0,8,0.5476887068461088,10,2,1
0,1,8,1,86,2012,550000.0,8,0.6623756582796957,10,0,1
0,1,7,3,51,2010,750000.0,8,0.023405500292568826,7,1,0
0,4,2,1,172,2017,581000.0,2,0.5787009947337626,19,0,1
0,4,2,3,184,2020,513000.0,2,0.5570509069631363,19,2,1
0,4,2,1,157,2017,650000.0,8,0.5857226448215332,19,0,1
0,1,2,1,55,2020,806000.0,2,0.7840842598010532,7,0,1
0,4,2,1,157,2016,725000.0,7,0.6085430076067876,19,0,0
0,4,2,1,77,2014,426000.0,7,0.4622586307782329,10,2,1
0,4,2,1,156,2019,485000.0,2,0.7577530719719133,19,0,1
0,4,2,2,61,2012,351000.0,8,0.4915155061439437,9,2,1
0,4,2,1,238,2021,490000.00000000006,8,0.6120538326506729,26,0,1
0,1,7,1,147,2017,1495000.0,8,0.29256875365710944,18,1,1
0,1,2,2,179,2014,510000.0,8,0.8308952603861907,19,0,1
0,4,2,1,300,2017,1025000.0,8,0.36337039204212995,30,1,0
0,1,8,1,249,2016,825000.0,2,0.5927442949093037,27,0,1
0,1,7,2,50,2016,675000.0,2,0.626097132826214,7,0,1
0,1,2,3,54,2010,190000.0,2,0.526623756582797,7,2,1
0,1,8,1,4,2014,890000.0,8,0.39087185488589815,1,1,0
0,4,7,1,239,2022,823000.0,8,0.46986541837331786,26,2,0
0,4,2,1,179,2014,554000.0,2,0.665886483323581,19,0,1
0,4,8,1,180,2014,499000.0,2,0.6676418958455238,19,0,1
0,4,7,1,239,2022,815000.0,8,0.46986541837331786,26,2,0
0,4,2,1,157,2020,719000.0,7,0.5857226448215332,19,0,1
0,4,2,1,160,2015,372000.0,7,0.8332358104154475,19,0,1
0,4,2,1,160,2018,515000.00000000006,8,0.7080163838502048,19,0,0
0,4,2,2,66,2016,554000.0,8,0.4505558806319484,9,2,1
0,4,8,1,275,2023,700000.0,2,0.5441778818022235,28,2,1
0,4,2,1,179,2011,410000.0,8,0.665886483323581,19,0,1
0,4,8,1,163,2016,685000.0,7,0.5693387946167349,19,0,1
0,1,7,1,107,2022,1800000.0,8,0.3978935049736688,14,1,0
0,4,2,2,184,2006,180000.0,8,0.4622586307782329,19,2,1
0,4,7,2,50,2018,765000.0,8,0.3510825043885313,7,1,1
0,4,8,3,75,2013,491000.0,8,0.310122878876536,10,1,1
0,1,7,1,50,2021,1175000.0,8,0.626097132826214,7,0,1
0,4,7,1,50,2020,999000.0,2,0.2867173785839673,7,1,1
0,4,2,1,179,2018,715000.0,8,0.5974253949678175,19,0,0
0,4,7,1,73,2021,1779000.0,2,0.48399837731360973,10,2,0
0,4,2,1,90,2012,404000.0,8,0.4388531304856641,10,2,1
0,4,2,2,89,2016,358000.0,8,0.5155061439438268,10,2,1
