City,ft,bt,Transmission,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl)
Bangalore,Petrol,Hatchback,Automatic,1,Renault KWID,2022,550000.0,Third Party insurance,22
Bangalore,Diesel,SUV,Manual,1,Tata Nexon,2018,825000.0,Comprehensive,21.5
Bangalore,Petrol,Hatchback,Manual,2,Hyundai Getz,2006,220000.00000000003,Third Party insurance,15.3
Bangalore,Petrol,Hatchback,Automatic,1,Maruti Celerio,2014,428000.0,Comprehensive,26.68
Bangalore,Diesel,Sedan,Manual,1,Skoda Rapid,2014,695000.0,Third Party insurance,21.14
Bangalore,Petrol,SUV,Manual,2,Ford Ecosport,2019,930000.0000000001,Third Party insurance,15.9
Bangalore,Petrol,Hatchback,Manual,1,Maruti Alto 800,2021,455000.0,Comprehensive,22.05
Bangalore,Diesel,SUV,Manual,1,Hyundai Creta,2017,1195000.0,Comprehensive,19.67
Bangalore,Diesel,SUV,Automatic,1,Tata Harrier,2021,2175000.0,Comprehensive,14.6
Bangalore,Petrol,Hatchback,Manual,3,Maruti Swift,2014,442000.0,Comprehensive,22.38
Bangalore,Diesel,Hatchback,Manual,1,Maruti Swift,2018,690000.0,Third Party insurance,28.4
Bangalore,Petrol,Hatchback,Manual,2,Maruti Celerio,2017,500000.0,Third Party,23.1
Bangalore,Diesel,Sedan,Automatic,1,BMW 3 Series GT,2016,3395000.0000000005,Comprehensive,21.76
Bangalore,Diesel,Sedan,Manual,1,Maruti Ciaz,2015,650000.0,Third Party insurance,26.21
Bangalore,Petrol,Hatchback,Automatic,2,Honda Jazz,2016,537000.0,Comprehensive,19
Bangalore,Diesel,MUV,Manual,1,Renault Lodgy,2016,750000.0,Third Party insurance,19.98
Bangalore,Petrol,Sedan,Automatic,1,Skoda Octavia,2018,1789999.9999999998,Comprehensive,15.1
Bangalore,Petrol,Hatchback,Manual,2,Tata Tiago,2017,468000.0,Third Party insurance,23.84
Bangalore,Petrol,Hatchback,Manual,2,Maruti Ritz,2014,420000.0,Third Party insurance,18.5
